 ,name      ,x_min,x_max,mu_min,mu_max,sigma_min,sigma_max
0,150000-50 ,-10  ,10   ,-3    ,3     ,0.5      ,3
1,150000-100,-10  ,10   ,-3    ,3     ,0.5      ,3
2,150000-150,-10  ,10   ,-3    ,3     ,0.5      ,3
